05:03:25 doubler_9060XT=6% game_9070XT=0%
05:03:28 doubler_9060XT=6% game_9070XT=0%
05:03:31 doubler_9060XT=6% game_9070XT=0%
05:03:34 doubler_9060XT=6% game_9070XT=0%
05:03:37 doubler_9060XT=6% game_9070XT=0%
05:03:40 doubler_9060XT=6% game_9070XT=0%
05:03:43 doubler_9060XT=6% game_9070XT=0%
05:03:46 doubler_9060XT=6% game_9070XT=0%
05:03:50 doubler_9060XT=6% game_9070XT=0%
05:03:53 doubler_9060XT=6% game_9070XT=0%
05:03:56 doubler_9060XT=6% game_9070XT=0%
05:03:59 doubler_9060XT=6% game_9070XT=0%
05:04:02 doubler_9060XT=6% game_9070XT=0%
05:04:05 doubler_9060XT=6% game_9070XT=0%
05:04:08 doubler_9060XT=6% game_9070XT=0%
05:04:11 doubler_9060XT=6% game_9070XT=0%
05:04:14 doubler_9060XT=6% game_9070XT=0%
05:04:17 doubler_9060XT=6% game_9070XT=0%
05:04:20 doubler_9060XT=6% game_9070XT=0%
05:04:23 doubler_9060XT=6% game_9070XT=0%
05:04:26 doubler_9060XT=6% game_9070XT=0%
05:04:29 doubler_9060XT=6% game_9070XT=0%
05:04:32 doubler_9060XT=6% game_9070XT=0%
05:04:35 doubler_9060XT=6% game_9070XT=0%
05:04:38 doubler_9060XT=6% game_9070XT=0%
05:04:41 doubler_9060XT=6% game_9070XT=0%
05:04:44 doubler_9060XT=6% game_9070XT=0%
05:04:47 doubler_9060XT=6% game_9070XT=0%
05:04:50 doubler_9060XT=6% game_9070XT=0%
05:04:53 doubler_9060XT=7% game_9070XT=0%
05:04:56 doubler_9060XT=6% game_9070XT=0%
05:04:59 doubler_9060XT=7% game_9070XT=0%
05:05:02 doubler_9060XT=7% game_9070XT=0%
05:05:05 doubler_9060XT=6% game_9070XT=0%
05:05:08 doubler_9060XT=6% game_9070XT=0%
05:05:11 doubler_9060XT=6% game_9070XT=0%
05:05:14 doubler_9060XT=6% game_9070XT=0%
05:05:17 doubler_9060XT=7% game_9070XT=0%
05:05:20 doubler_9060XT=7% game_9070XT=0%
05:05:23 doubler_9060XT=6% game_9070XT=0%
05:05:26 doubler_9060XT=6% game_9070XT=0%
05:05:29 doubler_9060XT=8% game_9070XT=2%
05:05:32 doubler_9060XT=15% game_9070XT=15%
05:05:35 doubler_9060XT=14% game_9070XT=15%
05:05:38 doubler_9060XT=12% game_9070XT=8%
